time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-02 00:00:00+00:00,36,11,0,0
2026-05-03 00:00:00+00:00,27,11,0,0
2026-05-04 00:00:00+00:00,24,11,17,1
2026-05-05 00:00:00+00:00,52,14,17,1
2026-05-06 00:00:00+00:00,28,9,0,0
2026-05-07 00:00:00+00:00,14,7,0,0
2026-05-08 00:00:00+00:00,39,12,6,1
2026-05-09 00:00:00+00:00,9,4,0,0
2026-05-10 00:00:00+00:00,9,4,0,0
2026-05-11 00:00:00+00:00,17,6,5,1
2026-05-12 00:00:00+00:00,31,8,0,0
2026-05-13 00:00:00+00:00,16,5,0,0
2026-05-14 00:00:00+00:00,18,5,0,0
2026-05-15 00:00:00+00:00,15,6,0,0
